video_id,track,clip,frame,yaw,pitch,roll,face_found
VID_ (1),2,10,1,0.5,-6.36,0.05,1
VID_ (1),2,10,2,-0.53,-14.82,5.5,1
VID_ (1),2,10,3,0.03,-10.04,1.72,1
VID_ (1),2,10,4,0.37,-10.87,1.64,1
VID_ (1),2,10,5,-1.19,-8.96,1.45,1
VID_ (1),2,10,6,-1.72,-16.08,4.47,1
VID_ (1),2,10,7,2.1,-15.36,2.56,1
VID_ (1),2,11,0,0.37,-10.87,1.64,1
VID_ (1),2,11,1,-1.19,-8.96,1.45,1
VID_ (1),2,11,2,-1.72,-16.08,4.47,1
VID_ (1),2,11,3,2.1,-15.36,2.56,1
VID_ (1),2,11,4,2.35,-12.17,0.84,1
VID_ (1),2,11,5,1.98,-12.86,1.77,1
VID_ (1),2,11,6,0.12,-10.02,1.68,1
VID_ (1),2,11,7,2.72,-12.83,4.0,1
VID_ (1),2,12,0,2.35,-12.17,0.84,1
VID_ (1),2,12,1,1.98,-12.86,1.77,1
VID_ (1),2,12,2,0.12,-10.02,1.68,1
VID_ (1),2,12,3,2.72,-12.83,4.0,1
VID_ (1),2,12,4,5.1,-20.45,10.34,1
VID_ (1),2,12,5,11.97,-16.88,5.67,1
VID_ (1),2,12,6,-1.05,-10.99,-1.93,1
VID_ (1),2,12,7,-0.93,-12.97,-3.43,1
VID_ (1),2,13,0,5.1,-20.45,10.34,1
VID_ (1),2,13,1,11.97,-16.88,5.67,1
VID_ (1),2,13,2,-1.05,-10.99,-1.93,1
VID_ (1),2,13,3,-0.93,-12.97,-3.43,1
VID_ (1),2,13,4,-2.48,-19.18,2.02,1
VID_ (1),2,13,5,-4.7,-16.33,5.14,1
VID_ (1),2,13,6,-37.34,-17.62,5.73,1
VID_ (1),2,13,7,-54.68,-3.99,-6.5,1
VID_ (1),3,0,0,43.65,-11.25,-26.12,1
VID_ (1),3,0,1,42.17,-9.66,-25.98,1
VID_ (1),3,0,2,43.81,-10.08,-25.38,1
VID_ (1),3,0,3,42.32,-8.78,-22.21,1
VID_ (1),3,0,4,40.73,-7.31,-18.5,1
VID_ (1),3,0,5,42.26,-6.49,-18.87,1
VID_ (1),3,0,6,43.07,-8.5,-20.73,1
VID_ (1),3,0,7,47.69,-13.21,-27.26,1
VID_ (1),3,1,0,40.73,-7.31,-18.5,1
VID_ (1),3,1,1,42.26,-6.49,-18.87,1
VID_ (1),3,1,2,43.07,-8.5,-20.73,1
VID_ (1),3,1,3,47.69,-13.21,-27.26,1
VID_ (1),3,1,4,40.49,-8.54,-26.35,1
VID_ (1),3,1,5,,,,0
VID_ (1),3,1,6,,,,0
VID_ (1),3,1,7,44.81,-11.33,-29.75,1
VID_ (1),3,2,0,40.49,-8.54,-26.35,1
VID_ (1),3,2,1,,,,0
VID_ (1),3,2,2,,,,0
VID_ (1),3,2,3,44.81,-11.33,-29.75,1
